date,product,product_line,product_type,type,market_size,market,state,marketing,total_expenses,inventory,cogs,margin,sales,profit,difference_between_actual_and_target_profit,target_cogs,target_margin,target_sales,target_profit
Oct-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,46,76,503,51,71,122,-5,-35,30,60,90,30
Oct-2012,Mint,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,17,45,405,52,71,123,26,-24,30,60,90,50
Oct-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,13,36,419,43,64,107,28,-22,30,60,90,50
Oct-2012,Darjeeling,Leaves,Tea,Regular,Major Market,East,Florida,10,21,871,38,56,94,35,-15,40,60,100,50
Oct-2012,Green Tea,Leaves,Tea,Regular,Major Market,West,California,23,54,650,72,110,182,56,6,20,60,80,50
Oct-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Iowa,0,12,430,0,43,43,31,-29,0,60,60,60
Oct-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,East,Connecticut,15,43,375,47,64,111,21,-29,30,60,90,50
Oct-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Oklahoma,7,18,859,27,39,66,21,-39,30,60,90,60
Oct-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,West,Nevada,9,30,1000,31,37,68,7,-43,30,60,90,50
Oct-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,West,Utah,11,22,881,40,59,99,37,-23,20,60,80,60
Oct-2012,Amaretto,Beans,Coffee,Regular,Small Market,East,New Hampshire,15,38,310,49,71,120,33,-27,30,60,90,60
Oct-2012,Colombian,Beans,Coffee,Regular,Small Market,East,New Hampshire,14,45,447,45,69,114,24,-26,30,60,90,50
Oct-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,East,New Hampshire,41,71,320,45,64,109,-7,-37,30,60,90,30
Oct-2012,Caffe Latte,Beans,Espresso,Regular,Small Market,South,Louisiana,54,83,-762,60,84,144,1,-9,30,60,90,10
Oct-2012,Colombian,Beans,Coffee,Regular,Small Market,West,Nevada,12,45,240,34,43,77,-2,-32,40,60,100,30
Oct-2012,Caffe Latte,Beans,Espresso,Regular,Small Market,West,Oregon,20,54,404,54,66,120,12,-28,40,60,100,40
Oct-2012,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,41,70,320,45,64,109,-6,-36,20,60,80,30
Oct-2012,Lemon,Leaves,Herbal Tea,Decaf,Small Market,Central,Wisconsin,13,25,851,48,70,118,45,-15,30,60,90,60
Oct-2012,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,15,38,310,49,71,120,33,-27,30,60,90,60
Oct-2012,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Washington,13,24,829,48,71,119,47,-13,30,60,90,60
Oct-2012,Darjeeling,Leaves,Tea,Regular,Small Market,East,Connecticut,11,23,881,40,59,99,36,-14,40,60,100,50
Oct-2012,Earl Grey,Leaves,Tea,Regular,Small Market,West,Oregon,27,59,788,82,123,205,64,14,30,60,90,50
Oct-2012,Green Tea,Leaves,Tea,Regular,Small Market,West,Oregon,28,51,656,91,127,218,76,26,40,60,100,50
Nov-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,South,Texas,13,26,536,40,52,92,26,-14,40,60,100,40
Nov-2012,Decaf Espresso,Beans,Espresso,Decaf,Major Market,South,Texas,14,25,589,50,73,123,48,8,30,60,90,40
Nov-2012,Colombian,Beans,Coffee,Regular,Major Market,Central,Colorado,13,25,536,40,52,92,27,-13,30,60,90,40
Nov-2012,Caffe Mocha,Beans,Espresso,Regular,Major Market,East,Massachusetts,47,76,554,52,68,120,-8,-8,50,60,110,0
Nov-2012,Mint,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,23,45,1063,75,89,164,44,14,50,60,110,30
Nov-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,14,37,424,46,68,114,31,1,40,60,100,30
Nov-2012,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Colorado,20,54,410,55,69,124,15,-5,40,60,100,20
Nov-2012,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Illinois,14,25,589,50,73,123,48,8,40,60,100,40
Nov-2012,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Colorado,17,39,1042,57,68,125,29,-1,40,60,100,30
Nov-2012,Darjeeling,Leaves,Tea,Regular,Major Market,East,Massachusetts,10,21,862,36,52,88,31,-9,30,60,90,40
Nov-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Missouri,9,21,836,33,48,81,27,-23,40,60,100,50
Nov-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Louisiana,8,19,856,31,47,78,28,-22,30,60,90,50
Nov-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Oklahoma,10,22,862,36,52,88,30,-10,40,60,100,40
Nov-2012,Decaf Espresso,Beans,Espresso,Decaf,Small Market,South,Louisiana,15,37,454,49,71,120,34,4,30,60,90,30
Nov-2012,Amaretto,Beans,Coffee,Regular,Small Market,Central,Wisconsin,20,53,391,54,67,121,14,-6,50,60,110,20
Nov-2012,Amaretto,Beans,Coffee,Regular,Small Market,East,New Hampshire,14,37,316,46,67,113,30,-10,40,60,100,40
Nov-2012,Colombian,Beans,Coffee,Regular,Small Market,East,New Hampshire,14,46,452,43,66,109,20,-10,30,60,90,30
Nov-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,East,New Hampshire,40,70,325,44,62,106,-8,-18,40,60,100,10
Nov-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,Louisiana,16,39,321,53,88,141,49,19,40,60,100,30
Nov-2012,Caffe Mocha,Beans,Espresso,Regular,Small Market,West,Washington,20,54,391,54,67,121,13,-7,50,60,110,20
Nov-2012,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,South,Oklahoma,20,54,391,54,67,121,13,-7,50,60,110,20
Nov-2012,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,14,37,316,46,67,113,30,0,40,60,100,30
Nov-2012,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,14,46,452,43,66,109,20,-10,40,60,100,30
Nov-2012,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Washington,13,24,834,47,68,115,44,4,40,60,100,40
Nov-2012,Green Tea,Leaves,Tea,Regular,Small Market,East,Connecticut,10,21,809,36,54,90,33,-7,30,60,90,40
Nov-2012,Green Tea,Leaves,Tea,Regular,Small Market,West,Washington,55,85,613,61,86,147,1,1,40,60,100,0
Dec-2012,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,South,Texas,14,26,531,43,56,99,30,-10,50,60,110,40
Dec-2012,Decaf Espresso,Beans,Espresso,Decaf,Major Market,South,Texas,15,27,601,54,79,133,52,12,40,60,100,40
Dec-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,42,71,521,47,65,112,-6,-6,40,60,100,0
Dec-2012,Mint,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,17,44,424,54,73,127,29,-1,50,60,110,30
Dec-2012,Lemon,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,24,57,403,65,80,145,23,3,40,60,100,20
